DATE,AMAT,AMGN,CAT,DD,G,GENZ,GM,HON,KR,LLTC,MSFT,ORCL,PG,PHA,SO,TXN,UTX,WM,WYE,YHOO,market,t90
1/31/1997,0.373913,0.03678161,0.03687708,0.1646746,0.06340836,0.2873563,0.05829597,0.05037313,0.02688172,0.1122507,0.2344932,-0.06886227,0.07498258,-0.02893891,-0.01878453,0.2294118,0.05283019,0.2597403,0.08102345,0.9926471,0.05303223,0.004517
2/28/1997,0.02531646,0.08425721,0.00805153,-0.01646522,-0.04090909,-0.08035714,-0.01059322,0.03033748,0.1099476,-0.06666667,-0.04411765,0.009646302,0.03891892,-0.03245033,-0.005714286,-0.01594896,0.08329749,-0.0264672,0.01633136,-0.1070111,-8.85E-04,0.003902
3/31/1997,-0.08395062,-0.08588957,0.0255591,-0.01165501,-0.0821485,-0.1262136,-0.04319654,-0.01384083,-0.03773585,-0.02747253,-0.05961538,-0.01751592,-0.04474506,0.05154639,-0.02873563,-0.02696921,0.006644518,-0.08628841,-0.0625,-0.07024793,-0.04439856,0.004282
4/30/1997,0.1832884,0.05369128,0.1140187,0.001179245,0.1733563,0.02777778,0.04514673,0.01403509,0.07843138,0.1367232,0.3251534,0.03079417,0.09978213,0.1143791,-0.03550296,0.1919867,-0.001650165,0.02737387,0.1020833,0.2133333,0.04247195,0.004844
5/30/1997,0.1890661,0.1358811,0.09691011,0.02949352,0.04558824,0.03243243,0,0.06588235,-0.05909091,-0.002487562,0.02057613,0.172956,0.09642147,0.03601173,0.05276074,0.005602241,0.06690909,0.1265823,0.1555388,-0.05494506,0.07126224,0.004837
6/30/1997,0.08524904,-0.1308411,0.09987196,0.1576525,0.06610408,0.1623037,-0.02832244,0.09446254,0.120773,0.03241895,0.01915323,0.08042896,0.02447869,-0.02130682,0.03550296,-0.06147632,0.03265941,0.07415731,0.006578947,0.09302326,0.04420104,0.004228
7/31/1997,0.2974404,0.01182796,0.04772992,0.0666004,0.04712401,-0.006987535,0.1098655,0.09821428,0.01939655,0.2934299,0.1196835,0.08064516,0.08056637,0.1552975,0.01771428,0.3680297,0.0188253,0.1614226,0.07761438,0.6028369,0.0763189,0.00453
8/29/1997,0.02721088,-0.1572795,0.03683036,-0.06613234,-0.1628788,0.03211009,0.02222222,-0.1021951,0.01902748,-0.01962617,-0.06581272,0.05051665,-0.1248973,-0.1136181,-0.03988604,-0.01195652,-0.07320029,-0.1338156,-0.1216376,0.05309734,-0.03644343,0.004337
9/30/1997,0.009271523,-0.03278688,-0.07104413,-0.01203611,0.04147813,0.05777778,0.06673307,0.02952309,0.002074689,0.04861773,9.46E-04,-0.04426229,0.03755869,-0.03103204,0.07121662,0.1808141,0.0376301,0.1649269,0.01388889,0.2636555,0.05802652,0.004863
10/31/1997,-0.2992126,0.0273794,-0.04519119,-0.07614213,0.03435192,-0.07983194,-0.0410831,-0.1529412,0.08074534,-0.08458181,-0.01747756,-0.01801029,-0.01172851,0.09615385,0.03102493,-0.2038246,-0.1358025,-0.01480287,0.01541096,-0.1253117,-0.0341217,0.004169
11/28/1997,-0.01123596,0.03807107,-0.06463414,0.07037362,0.03649123,-0.02054795,-0.04284323,0.03486111,0.05555556,0.02385686,0.08846154,-0.06899563,0.1204044,0.02263158,0.04632153,-0.06971294,0.07496428,0.01004566,-0.05237774,0.1660727,0.0311146,0.003986
12/31/1997,-0.08712121,0.05867971,0.01173403,-0.008255934,0.08801625,0.03496503,0.05803648,0.04545455,0.06715064,-0.1048544,-0.08657244,-0.3302064,0.04757999,-0.03862661,0.078125,-0.09148615,-0.02835696,-0.07685353,0.0957923,0.3545232,0.0180409,0.005112
1/30/1998,0.08921162,-0.07621247,-0.005154639,-0.05723205,-0.01714997,-0.03828829,-0.04629629,0.003220612,0.06462585,0.1507158,0.1542553,0.04201681,-0.0148473,0.1294643,-0.04743961,0.2138889,0.1158798,0.01140059,0.247549,-0.08483755,0.004423877,0.004677
2/27/1998,0.1219048,0.0625,0.1367188,0.08834437,0.0964467,0.1077283,0.1984898,0.09695024,0.07987221,0.1433962,0.1361542,0.05913978,0.08293461,0.07836627,0.01542416,0.0617849,0.1030462,0.04474708,-0.01317616,0.1548323,0.0728278,0.003693
3/31/1998,-0.04074703,0.1458824,0.009163803,0.1090724,0.09895834,0.08245243,-0.01722575,-0.01321586,0.09319527,-0.08910891,0.0560472,0.2817259,-0.005891016,0.01711491,0.121519,-0.06681035,0.03358992,0.06843575,0.01733333,0.263023,0.0513578,0.004878
